Time	day	Plot	Subplot	Mass_g	Al_mg_L	Ca_mg_L	Cd_ppb	Co_ppb	Cr_ppb	Cu_ppb	Fe_mg_L	K_mg_L	Mg_mg_L	Mn_mg_L	Na_mg_L	Ni_ppb	P_mg_L	Pb_ppb	S_mg_L	Zn_ppb	tot_C_%	tot_N_%	C_N
T6	189	L1	11	23.06	6.611	14.24395	0.42545	0.5457	8.9215	13.665	2.0415	0.64615	1.374	0.4774	4.0415	5.6085	1.0435	2.9095	3.0075	82.28	40.98306	2.561153	16.0018
T6	189	L1	12	22.84	9.345	10.73395	0.26125	0.6805	12.7815	0	2.7855	0.62995	1.013	0.3034	5.1775	5.8895	0.9118	0	2.6575	51.78	42.088	2.359655	17.83651
T6	189	L2	13	23.63	7.412	11.70395	0.34445	0.5205	14.2915	16.075	1.9335	0.39105	1.573	0.2652	2.3025	5.3695	0.6698	2.6245	2.5875	75.89	42.20918	1.973912	21.38352
T6	189	L2	14	26.49	12.595	10.74395	0.13815	0.6866	15.4115	2.155	2.1485	0.36345	1.274	0.256	2.1685	6.0635	0.5538	0	2.0875	48.15	41.97577	2.096315	20.0236
T6	189	L2	15	27.19	11.805	12.12395	0.03675	0.6317	11.2015	7.415	2.0805	0.21275	1.702	0.3013	1.7865	3.8275	0.4597	0	1.8425	45.36	41.49246	2.104653	19.71463
T6	189	L2	16	20.23	7.212	9.98395	0.46615	0.5618	11.4015	0.585	1.4615	0.27955	1.213	0.197	3.5045	5.6405	0.5838	0.5395	2.4725	63.6	43.32141	2.439975	17.75486
T7	221	C1	1	15.07	2.633	21.91395	0.37355	1.4285	10.7615	19.455	0.5603	0.99635	2.903	2.2635	2.4255	24.7875	1.2495	5.5145	3.1065	110.15	42.87933	2.358551	18.18037
T7	221	C1	2	17.93	2.321	19.72395	0.50925	3.7065	3.6555	14.115	0.1363	0.83125	2.786	2.1045	2.5715	3.6965	0.5655	3.6635	2.5245	91.65	40.72706	2.327308	17.49964
T7	221	C1	3	19.29	7.791	21.05395	0.40855	25.5615	16.1215	11.195	1.7095	1.55935	2.507	2.3015	3.8405	7.8025	0.9506	2.9455	2.9365	77.41	40.96836	2.099698	19.51155
T7	221	C1	4	14.36	4.452	21.25395	0.14915	1.2895	8.6825	13.105	1.4335	0.97385	3.667	2.2025	2.9995	5.1625	1.2315	4.3145	3.0465	80.29	40.52892	2.308032	17.55995
T7	221	C2	5	18.73	9.312	12.81395	0.08055	2.3495	8.4685	22.965	3.0665	0.85645	2.58	1.6875	0.7273	17.2475	0.5487	6.2075	0.9395	98.25	36.36106	2.199327	16.53281
T7	221	C2	6	19.11	4.188	8.15195	0.39915	0.8451	5.4305	17.825	1.6375	0.48905	1.851	1.2395	2.4675	3.8235	0.5364	4.8515	1.3275	66.54	37.26852	2.023854	18.41463
T7	221	C2	7	19.49	6.378	18.58395	0.27085	1.4825	11.1315	34.535	2.2775	1.06935	4.041	3.0425	3.6695	5.4015	1.1355	7.0905	3.3015	105.05	37.26388	2.057164	18.1142
T7	221	C2	8	20.31	2.892	13.77395	0.19265	0.7326	4.8015	9.615	0.8615	0.74135	1.797	0.4833	3.0045	3.8705	0.6482	5.6855	2.2375	50.42	41.44796	1.894063	21.88309
T7	221	L1	9	22.82	7.695	15.74395	0.04215	2.0205	15.4415	4.875	2.1135	0.52025	2.489	0.2661	1.3495	4.6395	0.8094	4.6585	2.3095	38.86	42.66751	1.987735	21.46539
T7	221	L1	10	19.97	7.461	9.81595	0.43725	0.6571	9.2215	13.795	1.8415	-0.00915	0.809	0.2809	5.0335	3.3015	0.5903	5.3845	0.6539	77.65	38.92533	2.256947	17.2469
T7	221	L1	11	20.3	7.286	6.67295	0.74645	0.7574	3.3955	1.595	1.6505	0.09485	0.5874	0.1603	4.7035	4.2255	0.4934	2.8155	1.1485	67.38	39.13657	2.160636	18.11345
T7	221	L1	12	19.32	8.421	7.83595	0	0.8513	9.3315	0	2.3305	0.01185	0.6315	0.2369	2.3535	4.5915	0.5814	2.3055	0.6663	30.97	39.94953	2.343907	17.04399
T7	221	L2	13	20.92	11.425	11.73395	0.02225	0.8499	11.2115	12.735	1.7975	0.04595	1.49	0.2166	2.8175	4.1315	0.7499	2.7035	1.0405	54.15	39.59464	2.175117	18.20345
T7	221	L2	14	22.76	6.769	8.36195	0.01765	0.9655	7.1385	7.745	0.8004	0	0.991	0.1637	3.3175	2.8925	0.4989	3.4855	0.6056	51.22	37.63172	2.44269	15.40585
T7	221	L2	15	20.48	10.005	10.45395	0.38195	1.3875	20.4615	25.635	1.9685	0	1.678	0.2014	2.6825	8.9475	0.5478	5.4015	0.6309	79.71	36.72699	2.442504	15.03661
